id;registation_stops;winner_chosen_at;credits_required
1;2020-11-20T15:19:28;2020-11-20T20:00:12;79952
2;2020-11-20T22:56:20;2020-11-21T06:32:19;96408
3;2020-11-20T15:31:41;2020-11-20T14:55:10;72359
4;2020-11-21T04:52:47;2020-11-21T13:05:31;73672
5;2020-11-21T00:49:08;2020-11-20T22:14:37;72302
6;2020-11-20T15:57:32;2020-11-20T18:09:32;15880
7;2020-11-20T20:15:27;2020-11-21T02:55:56;1240
8;2020-11-21T13:42:12;2020-11-20T17:25:07;98308
9;2020-11-20T17:53:07;2020-11-20T18:19:39;6081
10;2020-11-20T19:45:07;2020-11-21T13:10:59;96322
